停車票號,入場時間,出場時間,發票號碼,收費金額
2021020818393730,2021/02/08 18:39:00,2021/02/08 20:53:08,未開發票,75
2021020822313732,2021/02/08 22:31:00,2021/02/09 00:19:05,56697288,60
2021020819403731,2021/02/08 19:40:00,2021/02/09 05:38:49,56697289,285
2021020909143743,2021/02/09 09:14:00,2021/02/09 09:24:05,56697290,15
2021020911093749,2021/02/09 11:09:00,2021/02/09 11:29:39,未開發票,15
2021020910493748,2021/02/09 10:49:00,2021/02/09 11:40:26,56697291,30
2021020913193752,2021/02/09 13:19:00,2021/02/09 13:38:04,未開發票,15
2021020912513750,2021/02/09 12:51:00,2021/02/09 13:41:35,56697292,30
2021020908143739,2021/02/09 08:14:00,2021/02/09 13:56:21,56697293,150
2021020913093751,2021/02/09 13:09:00,2021/02/09 14:32:34,56697294,45
2021020908233742,2021/02/09 08:23:00,2021/02/09 15:24:17,56697295,150
2021020909243744,2021/02/09 09:24:00,2021/02/09 15:30:09,56697296,150
2021020916173753,2021/02/09 16:17:00,2021/02/09 16:39:34,未開發票,15
2021020906573735,2021/02/09 06:57:00,2021/02/09 16:42:51,未開發票,150
2021020907253736,2021/02/09 07:25:00,2021/02/09 17:24:50,56697297,150
2021020907433737,2021/02/09 07:43:00,2021/02/09 17:30:02,56697298,150
2021020908193741,2021/02/09 08:19:00,2021/02/09 17:42:40,56697299,150
2021020918053755,2021/02/09 18:05:00,2021/02/09 18:31:17,未開發票,15
2021020917443754,2021/02/09 17:44:00,2021/02/09 18:38:20,56697300,30
2021020907533738,2021/02/09 07:53:00,2021/02/09 18:43:01,56697301,150
2021020908163740,2021/02/09 08:16:00,2021/02/09 19:13:04,56697302,150
2021020910133746,2021/02/09 10:13:00,2021/02/09 19:41:17,56697303,150
2021020918313756,2021/02/09 18:31:00,2021/02/09 19:49:16,未開發票,45
2021020918463757,2021/02/09 18:46:00,2021/02/09 19:49:53,56697304,45
2021020905443733,2021/02/09 05:44:00,2021/02/09 19:58:42,56697305,150
2021020909273745,2021/02/09 09:27:00,2021/02/09 21:13:22,56697306,150
2021020910463747,2021/02/09 10:46:00,2021/02/09 22:29:13,未開發票,150
2021020921443760,2021/02/09 21:44:00,2021/02/09 23:16:44,未開發票,60
2021020919543758,2021/02/09 19:54:00,2021/02/09 23:40:58,未開發票,120
2021020920073759,2021/02/09 20:07:00,2021/02/10 00:48:57,未開發票,150
2021021001503761,2021/02/10 01:50:00,2021/02/10 03:31:37,未開發票,60
2021020906503734,2021/02/09 06:50:00,2021/02/10 11:22:36,56697307,300
2021021011133765,2021/02/10 11:13:00,2021/02/10 13:40:56,未開發票,75
2021021014143768,2021/02/10 14:14:00,2021/02/10 15:54:14,56697308,60
2021021013433767,2021/02/10 13:43:00,2021/02/10 16:14:01,56697309,75
2021021016543771,2021/02/10 16:54:00,2021/02/10 17:07:41,未開發票,15
2021021016383770,2021/02/10 16:38:00,2021/02/10 17:24:43,56697310,30
2021021017013772,2021/02/10 17:01:00,2021/02/10 17:25:30,56697311,15
2021021008223764,2021/02/10 08:22:00,2021/02/10 17:30:02,未開發票,150
2021021017083773,2021/02/10 17:08:00,2021/02/10 17:36:36,未開發票,15
2021021012033766,2021/02/10 12:03:00,2021/02/10 17:37:10,未開發票,150
2021021006333763,2021/02/10 06:33:00,2021/02/10 18:09:12,未開發票,150
2021021017553774,2021/02/10 17:55:00,2021/02/10 21:27:36,未開發票,120
2021021020303775,2021/02/10 20:30:00,2021/02/10 21:28:05,未開發票,30
2021021005113762,2021/02/10 05:11:00,2021/02/10 21:29:18,未開發票,150
2021021014153769,2021/02/10 14:15:00,2021/02/11 00:47:12,56697312,180
2021021107473776,2021/02/11 07:47:00,2021/02/11 15:15:43,56697313,150
2021020801093707,2021/02/08 01:09:00,2021/02/11 15:33:57,未開發票,600
2021021114293778,2021/02/11 14:29:00,2021/02/11 17:43:02,未開發票,105
2021021118223791,2021/02/11 18:22:00,2021/02/11 20:41:16,未開發票,75
2021021118353794,2021/02/11 18:35:00,2021/02/11 20:47:59,未開發票,75
